logf, logr, word
7.496097, 0.000000, "the"
6.814543, 0.693147, "and"
6.685861, 1.098612, "to"
6.527958, 1.386294, "a"
6.432940, 1.609438, "of"
6.287859, 1.791759, "she"
6.287859, 1.791759, "it"
6.135565, 1.945910, "said"
6.059123, 2.079442, "you"
6.052089, 2.197225, "in"
5.991465, 2.302585, "i"
5.953243, 2.397895, "alice"
5.880533, 2.484907, "was"
5.673323, 2.564949, "that"
5.605802, 2.639057, "as"
5.513429, 2.708050, "her"
5.420535, 2.772589, "with"
5.402677, 2.833213, "at"
5.318120, 2.890372, "on"
5.283204, 2.944439, "all"
5.181784, 2.995732, "this"
5.181784, 2.995732, "had"
5.181784, 2.995732, "for"
5.129899, 3.044522, "but"
5.105945, 3.091042, "not"
5.105945, 3.091042, "be"
5.023881, 3.135494, "or"
5.017280, 3.178054, "so"
4.976734, 3.218876, "very"
4.919981, 3.258097, "what"
4.867534, 3.295837, "they"
4.852030, 3.332205, "little"
4.844187, 3.367296, "is"
4.804021, 3.401197, "he"
4.762174, 3.433987, "its"
4.736198, 3.465736, "out"
4.736198, 3.465736, "if"
4.624973, 3.496508, "one"
4.624973, 3.496508, "about"
4.615121, 3.526361, "up"
4.615121, 3.526361, "down"
4.584967, 3.555348, "do"
4.564348, 3.583519, "his"
4.553877, 3.610918, "no"
4.499810, 3.637586, "then"
4.465908, 3.663562, "were"
4.465908, 3.663562, "know"
4.442651, 3.688879, "like"
4.442651, 3.688879, "have"
4.430817, 3.713572, "them"
4.430817, 3.713572, "project"
4.418841, 3.737670, "would"
4.418841, 3.737670, "went"
4.418841, 3.737670, "herself"
4.406719, 3.761200, "again"
4.382027, 3.784190, "when"
4.356709, 3.806662, "could"
4.343805, 3.828641, "there"
4.330733, 3.850148, "any"
4.317488, 3.871201, "by"
4.304065, 3.891820, "thought"
4.290459, 3.912023, "off"
4.290459, 3.912023, ""
4.276666, 3.931826, "are"
4.262680, 3.951244, "your"
4.234107, 3.970292, "see"
4.219508, 3.988984, "time"
4.219508, 3.988984, "queen"
4.219508, 3.988984, "me"
4.219508, 3.988984, "how"
4.204693, 4.007333, "into"
4.158883, 4.025352, "who"
4.127134, 4.043051, "did"
4.110874, 4.060443, "king"
4.110874, 4.060443, "an"
4.094345, 4.077537, "well"
4.094345, 4.077537, "dont"
4.060443, 4.094345, "my"
4.060443, 4.094345, "began"
4.043051, 4.110874, "now"
4.043051, 4.110874, "im"
4.025352, 4.127134, "which"
4.025352, 4.127134, "turtle"
4.025352, 4.127134, "mock"
4.025352, 4.127134, "gutenbergtm"
4.007333, 4.143135, "quite"
4.007333, 4.143135, "hatter"
4.007333, 4.143135, "gryphon"
3.988984, 4.158883, "way"
3.988984, 4.158883, "must"
3.970292, 4.174387, "work"
3.970292, 4.174387, "think"
3.970292, 4.174387, "other"
3.951244, 4.189655, "their"
3.951244, 4.189655, "some"
3.951244, 4.189655, "much"
3.931826, 4.204693, "only"
3.931826, 4.204693, "just"
3.931826, 4.204693, "from"
3.912023, 4.219508, "say"
3.912023, 4.219508, "go"
3.891820, 4.234107, "thing"
3.891820, 4.234107, "more"
3.891820, 4.234107, "first"
3.871201, 4.248495, "here"
3.871201, 4.248495, "head"
3.850148, 4.262680, "voice"
3.850148, 4.262680, "such"
3.828641, 4.276666, "get"
3.828641, 4.276666, "come"
3.806662, 4.290459, "never"
3.806662, 4.290459, "looked"
3.806662, 4.290459, "got"
3.784190, 4.304065, "can"
3.761200, 4.317488, "rabbit"
3.737670, 4.330733, "after"
3.713572, 4.343805, "round"
3.713572, 4.343805, "him"
3.688879, 4.356709, "tone"
3.688879, 4.356709, "over"
3.688879, 4.356709, "came"
3.663562, 4.369448, "why"
3.663562, 4.369448, "two"
3.663562, 4.369448, "great"
3.663562, 4.369448, "duchess"
3.663562, 4.369448, "dormouse"
3.663562, 4.369448, "before"
3.637586, 4.382027, "will"
3.637586, 4.382027, "we"
3.637586, 4.382027, "oh"
3.637586, 4.382027, "mouse"
3.637586, 4.382027, "been"
3.637586, 4.382027, "back"
3.555348, 4.394449, "right"
3.555348, 4.394449, "found"
3.555348, 4.394449, "cat"
3.526361, 4.406719, "nothing"
3.526361, 4.406719, "ive"
3.496508, 4.418841, "works"
3.496508, 4.418841, "without"
3.496508, 4.418841, "thats"
3.496508, 4.418841, "march"
3.496508, 4.418841, "long"
3.496508, 4.418841, "last"
3.496508, 4.418841, "large"
3.496508, 4.418841, "ill"
3.465736, 4.430817, "once"
3.433987, 4.442651, "tell"
3.433987, 4.442651, "put"
3.433987, 4.442651, "hare"
3.401197, 4.454347, "white"
3.401197, 4.454347, "things"
3.401197, 4.454347, "next"
3.401197, 4.454347, "made"
3.401197, 4.454347, "looking"
3.401197, 4.454347, "heard"
3.367296, 4.465908, "should"
3.367296, 4.465908, "replied"
3.367296, 4.465908, "moment"
3.367296, 4.465908, "make"
3.367296, 4.465908, "door"
3.367296, 4.465908, "dear"
3.332205, 4.477337, "use"
3.332205, 4.477337, "upon"
3.332205, 4.477337, "might"
3.332205, 4.477337, "look"
3.332205, 4.477337, "cant"
3.295837, 4.488636, "shall"
3.295837, 4.488636, "seemed"
3.295837, 4.488636, "poor"
3.295837, 4.488636, "may"
3.295837, 4.488636, "going"
3.295837, 4.488636, "eyes"
3.295837, 4.488636, "electronic"
3.295837, 4.488636, "caterpillar"
3.258097, 4.499810, "too"
3.258097, 4.499810, "three"
3.258097, 4.499810, "than"
3.258097, 4.499810, "gutenberg"
3.258097, 4.499810, "away"
3.218876, 4.510860, "while"
3.218876, 4.510860, "soon"
3.218876, 4.510860, "same"
3.218876, 4.510860, "rather"
3.218876, 4.510860, "day"
3.218876, 4.510860, "course"
3.178054, 4.521789, "wont"
3.178054, 4.521789, "took"
3.178054, 4.521789, "theres"
3.178054, 4.521789, "sure"
3.178054, 4.521789, "good"
3.135494, 4.532599, "youre"
3.135494, 4.532599, "felt"
3.135494, 4.532599, "added"
3.091042, 4.543295, "yet"
3.091042, 4.543295, "wish"
3.091042, 4.543295, "set"
3.091042, 4.543295, "please"
3.091042, 4.543295, "getting"
3.091042, 4.543295, "foundation"
3.091042, 4.543295, "another"
3.044522, 4.553877, "words"
3.044522, 4.553877, "under"
3.044522, 4.553877, "till"
3.044522, 4.553877, "terms"
3.044522, 4.553877, "take"
3.044522, 4.553877, "old"
3.044522, 4.553877, "minute"
3.044522, 4.553877, "however"
3.044522, 4.553877, "half"
3.044522, 4.553877, "find"
3.044522, 4.553877, "ever"
3.044522, 4.553877, "even"
3.044522, 4.553877, "anything"
2.995732, 4.564348, "sort"
2.995732, 4.564348, "hand"
2.995732, 4.564348, "end"
2.995732, 4.564348, "cried"
2.944439, 4.574711, "tried"
2.944439, 4.574711, "full"
2.944439, 4.574711, "feet"
2.944439, 4.574711, "curious"
2.944439, 4.574711, "being"
2.890372, 4.584967, "wonder"
2.890372, 4.584967, "us"
2.890372, 4.584967, "table"
2.890372, 4.584967, "soup"
2.890372, 4.584967, "something"
2.890372, 4.584967, "house"
2.890372, 4.584967, "eat"
2.890372, 4.584967, "court"
2.890372, 4.584967, "agreement"
2.833213, 4.595120, "these"
2.833213, 4.595120, "talking"
2.833213, 4.595120, "side"
2.833213, 4.595120, "sat"
2.833213, 4.595120, "question"
2.833213, 4.595120, "perhaps"
2.833213, 4.595120, "let"
2.833213, 4.595120, "jury"
2.833213, 4.595120, "enough"
2.833213, 4.595120, "asked"
2.772589, 4.605170, "where"
2.772589, 4.605170, "turned"
2.772589, 4.605170, "through"
2.772589, 4.605170, "spoke"
2.772589, 4.605170, "ran"
2.772589, 4.605170, "people"
2.772589, 4.605170, "indeed"
2.772589, 4.605170, "high"
2.772589, 4.605170, "hastily"
2.772589, 4.605170, "doesnt"
2.772589, 4.605170, "both"
2.772589, 4.605170, "bit"
2.772589, 4.605170, "because"
2.708050, 4.615121, "used"
2.708050, 4.615121, "states"
2.708050, 4.615121, "saying"
2.708050, 4.615121, "near"
2.708050, 4.615121, "idea"
2.708050, 4.615121, "hear"
2.708050, 4.615121, "give"
2.708050, 4.615121, "gave"
2.708050, 4.615121, "garden"
2.708050, 4.615121, "done"
2.708050, 4.615121, "donations"
2.708050, 4.615121, "change"
2.708050, 4.615121, "cats"
2.708050, 4.615121, "called"
2.708050, 4.615121, "am"
2.639057, 4.624973, "trying"
2.639057, 4.624973, "talk"
2.639057, 4.624973, "suppose"
2.639057, 4.624973, "speak"
2.639057, 4.624973, "silence"
2.639057, 4.624973, "seen"
2.639057, 4.624973, "saw"
2.639057, 4.624973, "remember"
2.639057, 4.624973, "read"
2.639057, 4.624973, "ought"
2.639057, 4.624973, "many"
2.639057, 4.624973, "mad"
2.639057, 4.624973, "low"
2.639057, 4.624973, "license"
2.639057, 4.624973, "left"
2.639057, 4.624973, "knew"
2.639057, 4.624973, "itself"
2.639057, 4.624973, "face"
2.639057, 4.624973, "didnt"
2.639057, 4.624973, "certainly"
2.639057, 4.624973, "better"
2.639057, 4.624973, "beginning"
2.639057, 4.624973, "beautiful"
2.639057, 4.624973, "anxiously"
2.639057, 4.624973, "alices"
2.639057, 4.624973, "air"
2.564949, 4.634729, "yes"
2.564949, 4.634729, "wouldnt"
2.564949, 4.634729, "whole"
2.564949, 4.634729, "theyre"
2.564949, 4.634729, "suddenly"
2.564949, 4.634729, "still"
2.564949, 4.634729, "size"
2.564949, 4.634729, "sea"
2.564949, 4.634729, "room"
2.564949, 4.634729, "really"
2.564949, 4.634729, "nearly"
2.564949, 4.634729, "literary"
2.564949, 4.634729, "kept"
2.564949, 4.634729, "keep"
2.564949, 4.634729, "grow"
2.564949, 4.634729, "gone"
2.564949, 4.634729, "far"
2.564949, 4.634729, "dodo"
2.564949, 4.634729, "dance"
2.564949, 4.634729, "copyright"
2.564949, 4.634729, "cook"
2.564949, 4.634729, "close"
2.564949, 4.634729, "behind"
2.564949, 4.634729, "begin"
2.564949, 4.634729, "archive"
2.484907, 4.644391, "turning"
2.484907, 4.644391, "try"
2.484907, 4.644391, "tea"
2.484907, 4.644391, "small"
2.484907, 4.644391, "pigeon"
2.484907, 4.644391, "our"
2.484907, 4.644391, "makes"
2.484907, 4.644391, "majesty"
2.484907, 4.644391, "life"
2.484907, 4.644391, "help"
2.484907, 4.644391, "hardly"
2.484907, 4.644391, "hands"
2.484907, 4.644391, "game"
2.484907, 4.644391, "finished"
2.484907, 4.644391, "every"
2.484907, 4.644391, "deal"
2.484907, 4.644391, "chapter"
2.484907, 4.644391, "bill"
2.484907, 4.644391, "best"
2.484907, 4.644391, "baby"
2.484907, 4.644391, "arm"
2.484907, 4.644391, "among"
2.484907, 4.644391, "always"
2.484907, 4.644391, "afraid"
2.397895, 4.653960, "word"
2.397895, 4.653960, "whether"
2.397895, 4.653960, "wasnt"
2.397895, 4.653960, "waited"
2.397895, 4.653960, "though"
2.397895, 4.653960, "those"
2.397895, 4.653960, "thinking"
2.397895, 4.653960, "tears"
2.397895, 4.653960, "paragraph"
2.397895, 4.653960, "name"
2.397895, 4.653960, "most"
2.397895, 4.653960, "minutes"
2.397895, 4.653960, "id"
2.397895, 4.653960, "hurry"
2.397895, 4.653960, "hurried"
2.397895, 4.653960, "heads"
2.397895, 4.653960, "growing"
2.397895, 4.653960, "glad"
2.397895, 4.653960, "either"
2.397895, 4.653960, "does"
2.397895, 4.653960, "dinah"
2.397895, 4.653960, "copy"
2.397895, 4.653960, "ask"
2.397895, 4.653960, "agree"
2.302585, 4.663439, "yourself"
2.302585, 4.663439, "youd"
2.302585, 4.663439, "witness"
2.302585, 4.663439, "walked"
2.302585, 4.663439, "united"
2.302585, 4.663439, "turn"
2.302585, 4.663439, "trademark"
2.302585, 4.663439, "soldiers"
2.302585, 4.663439, "sitting"
2.302585, 4.663439, "sight"
2.302585, 4.663439, "rest"
2.302585, 4.663439, "repeated"
2.302585, 4.663439, "remarked"
2.302585, 4.663439, "remark"
2.302585, 4.663439, "refund"
2.302585, 4.663439, "queer"
2.302585, 4.663439, "pool"
2.302585, 4.663439, "own"
2.302585, 4.663439, "opened"
2.302585, 4.663439, "offended"
2.302585, 4.663439, "mouth"
2.302585, 4.663439, "mind"
2.302585, 4.663439, "mean"
2.302585, 4.663439, "lessons"
2.302585, 4.663439, "hold"
2.302585, 4.663439, "having"
2.302585, 4.663439, "gloves"
2.302585, 4.663439, "footman"
2.302585, 4.663439, "foot"
2.302585, 4.663439, "few"
2.302585, 4.663439, "fan"
2.302585, 4.663439, "explain"
2.302585, 4.663439, "everything"
2.302585, 4.663439, "else"
2.302585, 4.663439, "different"
2.302585, 4.663439, "creatures"
2.302585, 4.663439, "conversation"
2.302585, 4.663439, "children"
2.302585, 4.663439, "child"
2.302585, 4.663439, "bottle"
2.302585, 4.663439, "against"
2.302585, 4.663439, "access"
2.197225, 4.672829, "written"
